iter	Passed	Remaining
0	65	327415
1	72	182178
2	82	137612
3	89	111508
4	95	95026
5	101	84176
6	106	76040
7	112	70064
8	118	65676
9	122	61094
10	128	58234
11	134	56089
12	140	53853
13	146	52036
14	152	50653
15	157	49171
16	164	48124
17	170	47248
18	177	46434
19	183	45626
20	188	44789
21	194	44098
22	200	43423
23	207	43020
24	214	42664
25	220	42202
26	226	41639
27	231	41187
28	238	40833
29	244	40536
30	251	40271
31	256	39859
32	262	39474
33	268	39226
34	274	38955
35	280	38727
36	286	38439
37	292	38175
38	298	37975
39	304	37709
40	310	37529
41	316	37361
42	322	37204
43	326	36748
44	332	36637
45	338	36463
46	344	36270
47	350	36168
48	356	36003
49	361	35812
50	367	35656
51	373	35519
52	377	35233
53	384	35191
54	390	35126
55	393	34758
56	399	34658
57	405	34534
58	410	34374
59	417	34333
60	423	34289
61	429	34222
62	435	34145
63	441	34066
64	447	33971
65	453	33924
66	459	33834
67	465	33765
68	470	33598
69	475	33501
70	482	33470
71	488	33440
72	492	33272
73	498	33210
74	505	33175
75	510	33104
76	517	33071
77	523	33040
78	527	32866
79	532	32727
80	538	32677
81	543	32613
82	550	32593
83	556	32574
84	562	32522
85	568	32462
86	573	32412
87	578	32307
88	584	32271
89	590	32229
90	594	32087
91	600	32014
92	608	32114
93	615	32131
94	618	31958
95	624	31927
96	631	31910
97	638	31944
98	644	31911
99	650	31881
100	656	31853
101	664	31889
102	670	31881
103	676	31845
104	682	31822
105	688	31769
106	692	31673
107	699	31704
108	706	31689
109	709	31546
110	716	31560
111	722	31537
112	729	31540
113	736	31546
114	742	31549
115	749	31540
116	755	31523
117	761	31491
118	766	31457
119	771	31379
120	777	31361
121	783	31307
122	789	31293
123	795	31264
124	800	31219
125	806	31199
126	813	31215
127	819	31179
128	824	31121
129	831	31135
130	837	31112
131	841	31051
132	848	31041
133	853	30980
134	858	30951
135	862	30851
136	868	30813
137	874	30815
138	878	30720
139	884	30695
140	889	30655
141	895	30635
142	901	30613
143	906	30579
144	912	30565
145	918	30539
146	923	30497
147	930	30495
148	935	30450
149	940	30419
150	946	30395
151	952	30386
152	957	30317
153	962	30301
154	968	30288
155	974	30268
156	981	30281
157	987	30271
158	993	30238
159	998	30190
160	1003	30160
161	1007	30098
162	1014	30100
163	1018	30047
164	1024	30018
165	1030	30000
166	1035	29973
167	1042	29974
168	1047	29931
169	1053	29930
170	1059	29919
171	1064	29889
172	1069	29839
173	1074	29814
174	1080	29792
175	1087	29798
176	1093	29793
177	1098	29767
178	1104	29758
179	1110	29744
180	1116	29734
181	1122	29713
182	1127	29686
183	1133	29680
184	1138	29643
185	1144	29628
186	1150	29601
187	1156	29614
188	1163	29610
189	1168	29587
190	1175	29587
191	1178	29519
192	1184	29503
193	1190	29491
194	1193	29408
195	1198	29387
196	1204	29365
197	1210	29365
198	1216	29343
199	1221	29326
200	1228	29321
201	1233	29303
202	1239	29295
203	1244	29265
204	1250	29259
205	1257	29254
206	1263	29250
207	1269	29238
208	1275	29230
209	1279	29194
210	1286	29188
211	1290	29145
212	1295	29125
213	1302	29119
214	1308	29122
215	1314	29105
216	1320	29097
217	1326	29103
218	1330	29039
219	1333	28973
220	1339	28956
221	1342	28883
222	1348	28876
223	1353	28868
224	1357	28810
225	1364	28816
226	1369	28792
227	1375	28796
228	1381	28790
229	1387	28785
230	1394	28780
231	1400	28775
232	1406	28778
233	1412	28759
234	1418	28758
235	1424	28758
236	1431	28767
237	1435	28713
238	1441	28712
239	1447	28701
240	1452	28684
241	1458	28678
242	1464	28665
243	1470	28669
244	1476	28646
245	1481	28637
246	1487	28630
247	1493	28621
248	1499	28607
249	1505	28595
250	1508	28532
251	1514	28525
252	1520	28525
253	1526	28526
254	1533	28527
255	1539	28525
256	1542	28469
257	1548	28463
258	1554	28447
259	1560	28446
260	1563	28396
261	1569	28379
262	1574	28356
263	1578	28324
264	1584	28316
265	1590	28310
266	1596	28308
267	1602	28295
268	1608	28294
269	1615	28294
270	1621	28296
271	1627	28291
272	1632	28274
273	1638	28266
274	1644	28259
275	1650	28255
276	1657	28255
277	1663	28255
278	1669	28250
279	1676	28259
280	1682	28253
281	1689	28259
282	1695	28254
283	1700	28239
284	1706	28229
285	1712	28218
286	1717	28199
287	1723	28195
288	1728	28172
289	1734	28168
290	1740	28159
291	1745	28147
292	1751	28134
293	1757	28130
294	1764	28138
295	1770	28128
296	1775	28116
297	1781	28108
298	1785	28078
299	1791	28063
300	1797	28055
301	1802	28046
302	1808	28040
303	1815	28039
304	1820	28021
305	1826	28016
306	1832	28014
307	1836	27971
308	1842	27978
309	1847	27957
310	1853	27943
311	1858	27931
312	1865	27932
313	1872	27942
314	1875	27899
315	1882	27900
316	1886	27866
317	1892	27857
318	1898	27861
319	1904	27858
320	1911	27866
321	1919	27890
322	1926	27889
323	1932	27890
324	1939	27898
325	1946	27905
326	1952	27902
327	1958	27892
328	1964	27889
329	1969	27876
330	1976	27873
331	1982	27871
332	1988	27868
333	1994	27861
334	2000	27860
335	2007	27866
336	2010	27821
337	2013	27774
338	2019	27772
339	2025	27757
340	2029	27733
341	2036	27738
342	2042	27735
343	2048	27731
344	2055	27728
345	2061	27722
346	2067	27719
347	2073	27724
348	2080	27722
349	2086	27717
350	2091	27707
351	2097	27702
352	2103	27689
353	2109	27683
354	2115	27677
355	2120	27667
356	2126	27661
357	2132	27657
358	2138	27649
359	2144	27636
360	2150	27637
361	2156	27633
362	2163	27633
363	2169	27630
364	2175	27628
365	2181	27624
366	2188	27624
367	2194	27622
368	2200	27617
369	2206	27610
370	2212	27607
371	2218	27603
372	2225	27608
373	2231	27602
374	2236	27587
375	2243	27591
376	2250	27598
377	2257	27598
378	2262	27588
379	2269	27586
380	2275	27587
381	2282	27590
382	2289	27597
383	2294	27586
384	2301	27589
385	2307	27588
386	2314	27584
387	2321	27595
388	2327	27591
389	2334	27589
390	2339	27579
391	2345	27571
392	2351	27570
393	2357	27563
394	2363	27553
395	2369	27545
396	2375	27546
397	2382	27547
398	2387	27536
399	2394	27534
400	2400	27528
401	2406	27522
402	2412	27520
403	2419	27520
