customer_id,period,tenure_months,age,region,contract_type,monthly_charges,usage_minutes,support_calls,complaints_last_3m,payment_method,late_payments,marketing_emails_opened,active_days_last_month,churn
C0001,2023-01,19,56,Center,Monthly,76.78,433.06,0,0,BankTransfer,0,0,19,0
C0001,2023-02,20,56,Center,Monthly,76.78,440.07,0,0,BankTransfer,1,1,21,0
C0001,2023-03,21,56,Center,Monthly,76.78,447.29,0,1,BankTransfer,0,0,23,0
C0001,2023-04,22,56,Center,Monthly,76.78,317.14,0,0,BankTransfer,0,3,29,0
C0001,2023-05,23,56,Center,Monthly,76.78,472.71,0,0,BankTransfer,0,0,20,0
C0001,2023-06,24,56,Center,Monthly,76.78,308.04,2,0,BankTransfer,0,4,18,0
C0001,2023-07,25,56,Center,Monthly,76.78,348.14,0,0,BankTransfer,0,1,27,0
C0001,2023-08,26,56,Center,Monthly,76.78,494.58,2,2,BankTransfer,0,2,27,0
C0001,2023-09,27,56,Center,Monthly,76.78,466.21,0,2,BankTransfer,0,1,15,0
C0001,2023-10,28,56,Center,Monthly,76.78,429.71,0,1,BankTransfer,0,1,19,0
C0001,2023-11,29,56,Center,Monthly,76.78,353.62,2,1,BankTransfer,0,0,24,0
C0001,2023-12,30,56,Center,Monthly,76.78,413.85,1,0,BankTransfer,0,2,17,1
C0002,2023-01,19,30,Lima,Premium,55.04,234.42,0,0,BankTransfer,0,1,19,0
C0002,2023-02,20,30,Lima,Premium,55.04,337.92,1,1,BankTransfer,1,1,18,0
C0002,2023-03,21,30,Lima,Premium,55.04,374.85,0,0,BankTransfer,0,1,29,0
C0002,2023-04,22,30,Lima,Premium,55.04,332.51,0,1,BankTransfer,1,1,20,0
C0002,2023-05,23,30,Lima,Premium,55.04,336.22,0,0,BankTransfer,0,2,26,0
C0002,2023-06,24,30,Lima,Premium,55.04,314.52,2,0,BankTransfer,0,1,11,0
C0002,2023-07,25,30,Lima,Premium,55.04,289.63,0,2,BankTransfer,1,0,25,0
C0002,2023-08,26,30,Lima,Premium,55.04,337.81,1,2,BankTransfer,0,2,26,0
C0002,2023-09,27,30,Lima,Premium,55.04,280.26,0,1,BankTransfer,0,1,14,0
C0002,2023-10,28,30,Lima,Premium,55.04,340.88,0,0,BankTransfer,0,1,28,0
C0002,2023-11,29,30,Lima,Premium,55.04,288.16,1,0,BankTransfer,0,2,26,0
C0002,2023-12,30,30,Lima,Premium,55.04,377.63,0,1,BankTransfer,0,3,25,0
C0002,2024-01,31,30,Lima,Premium,55.04,309.03,0,0,BankTransfer,0,1,24,0
C0002,2024-02,32,30,Lima,Premium,55.04,354.62,1,0,BankTransfer,0,1,22,0
C0002,2024-03,33,30,Lima,Premium,55.04,341.81,0,0,BankTransfer,0,1,21,0
C0002,2024-04,34,30,Lima,Premium,55.04,244.87,0,0,BankTransfer,0,0,24,0
C0002,2024-05,35,30,Lima,Premium,55.04,292.94,0,0,BankTransfer,0,0,21,0
C0002,2024-06,36,30,Lima,Premium,55.04,297.83,0,0,BankTransfer,0,1,24,0
C0002,2024-07,37,30,Lima,Premium,55.04,361.47,0,0,BankTransfer,0,0,23,0
C0002,2024-08,38,30,Lima,Premium,55.04,282.41,0,1,BankTransfer,0,0,21,0
