id_cliente,periodo,edad,sexo,region,segmento,ingreso_mensual,score_bureau,num_lineas,max_mora_12m,mora_30d_12m,saldo_total,utilizacion_tc,antig_laboral_anios,antig_banca_anios,producto_principal,canal_origen,mora_30d_next3m
C001468,202508,44,F,Lima,C,1216.74,619.0,0,0,0,2626.98,0.7406391036855144,6.0,2.2,Hipotecario,Digital,0
C000819,202412,28,M,Norte,A,4383.33,608.0,3,0,0,9757.52,0.613334504526248,1.6,1.1,TC,Tienda,1
C000739,202410,35,M,Lima,B,3560.49,611.0,3,0,1,3702.3,0.09751335927199843,4.7,1.4,Pyme,Digital,0
C001080,202406,26,M,Norte,B,2505.25,690.0,4,1,1,3479.64,0.1416807201234781,10.0,0.0,PL,Digital,0
C000736,202406,62,M, Lima ,A,1866.13,717.0,2,1,0,2274.58,0.24411083948236922,8.3,2.3,Hipotecario,FuerzaVenta,0
C000474,202504,65,F,Lima,A,1399.38,711.0,4,0,0,984.4,0.14127668727663392,2.8,3.7,Hipotecario,Digital,0
C000966,202408,58,F,Lima,B,2701.68,564.0,3,1,0,1685.14,0.17288969784696892,8.2,0.5,PL,Tienda,0
C001213,202409,47,F, Lima ,B,1894.11,636.0,1,0,1,2835.88,0.35405747678800803,6.9,4.0,TC,Digital,0
C000039,202504,54,F,Lima,A,4491.79,733.0,1,0,0,11441.17,0.05611432935947142,0.0,2.8,PL,Tienda,0
C001264,202402,19,F,Centro,A,1896.18,542.0,4,0,1,2705.03,0.5646648257199708,7.6,2.4,TC,FuerzaVenta,1
C001265,202409,54,M,Lima,B,1852.5,670.0,5,2,0,1934.01,0.05335527459080614,5.2,1.8,TC,Tienda,1
C000628,202408,70,M,Lima,,3178.58,734.0,1,0,0,,0.1644169928596693,4.3,3.6,PL,Digital,0
C001094,202509,40,F,Lima,C,2676.57,694.0,5,1,0,6327.21,0.028724053533163568,1.1,4.5,TC,Digital,0
C001065,202502,64,M,Centro,B,2470.76,725.0,2,0,0,1235.61,0.14950249816163608,3.3,2.4,Pyme,Digital,0
C000442,202503,22,F,Lima,C,3829.88,514.0,4,0,0,6405.34,0.3174683911414708,7.3,0.8,TC,Digital,1
C000931,202503,56,F,Lima,B,1469.43,504.0,1,1,0,885.16,0.29729776087634835,3.3,5.4,TC,Digital,1
C001360,202401,64,F,Lima,A,3621.43,711.0,8,0,0,3973.4,0.37707154748194904,1.7,2.7,TC,Digital,0
C001182,202506,55,F,Sur,A,1149.27,662.0,3,0,0,1560.29,0.4007492294139419,2.7,2.2,TC,Tienda,1
C001433,202504,26,F,Centro,B,1426.29,659.0,4,0,0,3019.98,0.13036137848343365,4.9,2.9,TC,Tienda,0
C000293,202311,35,F,Sur,A,1182.64,599.0,1,0,0,1010.74,0.2805343264948348,0.0,4.6,Hipotecario,Digital,0
C000616,202405,75,M,Norte,B,1344.7,771.0,2,0,0,2245.84,0.3669891608123934,4.4,0.0,Pyme,Tienda,0
C000924,202311,67,F,Lima,A,2962.75,537.0,2,0,0,1626.63,0.4214017919742386,6.5,2.2,Hipotecario,Tienda,0
C000515,202312,49,,Sur,C,1697.52,743.0,2,0,0,3526.04,,4.3,3.1,Pyme,Alianza,0
C000005,202410,51,F,Centro,C,2735.02,651.0,0,0,0,,0.6022868965952253,4.8,3.1,PL,Tienda,0
C001413,202404,74,M,Lima,B,1753.08,510.0,2,1,0,5637.26,0.19772808607248823,9.1,4.7,PL,Digital,1
C001289,202506,67,F,Norte,B,850.5,687.0,3,1,0,941.52,0.27656403645874655,0.0,5.1,Pyme,Tienda,0
C000155,202403,57,F,Lima,C,1286.19,748.0,4,0,1,1154.92,0.09041084378631661,6.1,5.3,PL,Digital,0
C000417,202312,46,M,Lima,B,1685.99,493.0,3,1,0,4426.3,0.2710084492638691,3.9,2.1,PL,Tienda,1
C000144,202409,45,M,Lima,A,5025.86,755.0,5,0,0,12582.84,0.38735787629853363,3.8,0.2,TC,Tienda,0
C000022,202404,24,F,Sur,B,2520.92,584.0,5,0,0,8635.74,0.3346054651015503,,3.3,TC,Digital,1
C000951,202408,20,M,Lima,B,,715.0,4,1,0,11337.55,0.11898178179276694,2.8,1.4,TC,Digital,1
C000819,202312,74,F,Lima,C,1291.77,750.0,2,1,0,4124.06,0.4026089391045296,3.6,3.6,TC,Digital,0
C000346,202402,27,M,Norte,A,2131.95,764.0,2,0,0,1827.18,0.5081121034216307,4.9,2.6,TC,Digital,0
C000049,202410,51,F, Lima ,B,6292.46,769.0,3,1,0,8863.77,0.4360738196470569,4.9,4.4, TC ,Digital,0
C001426,202408,70,F,Lima,B,5074.54,678.0,3,0,0,13428.63,0.32927051789472606,9.5,3.7,TC,Tienda,0
C001216,202411,43,F,Lima,C,4544.31,685.0,2,0,1,15379.23,0.2816964469271703,2.8,5.9,PL,Digital,0
C000801,202404,32,F,Lima,A,3807.43,443.0,2,0,1,8904.91,0.32717391125656925,6.1,4.0,Hipotecario,FuerzaVenta,1
C000527,202502,72,M,Oriente,A,3187.14,645.0,3,0,0,9106.95,0.501272690905723,4.4,4.6,Pyme,Tienda,0
